name,year,placement,source_url
Aaron Swoboda,2005,Assistant Professor at University of Pittsburgh,https://are.berkeley.edu/job-candidates/past-placements
Yanhong Jin,2004,Assistant Professor at Texas A&M University,https://are.berkeley.edu/job-candidates/past-placements
Stephen Stohs,2004,"Researcher/Lecturer at University of California, San Diego",https://are.berkeley.edu/job-candidates/past-placements
Caridad Araujo,2003,Visiting Assistant Professor/Consultant at Georgetown University/World Bank,https://are.berkeley.edu/job-candidates/past-placements
Kathy Baylis,2003,"Assistant Professor at University of British Columbia, Vancouver",https://are.berkeley.edu/job-candidates/past-placements
Nick Brozovic,2003,"Assistant Professor at University of Illinois, Urbana Champaign",https://are.berkeley.edu/job-candidates/past-placements
Sean Cash,2003,"Assistant Professor at University of Alberta, Edmonton",https://are.berkeley.edu/job-candidates/past-placements
Greg Graff,2003,"Director of Research at Bio-Economic Research Associates, Cambridge, MA",https://are.berkeley.edu/job-candidates/past-placements
Karen Macours,2003,Assistant Professor at Johns Hopkins University,https://are.berkeley.edu/job-candidates/past-placements
Craig McIntosh,2003,"Assistant Professor at University of California, San Diego",https://are.berkeley.edu/job-candidates/past-placements
Wolfram Schlenker,2003,Assistant Professor at Columbia University,https://are.berkeley.edu/job-candidates/past-placements
Ximing Wu,2003,Assistant Professor at Texas A&M University,https://are.berkeley.edu/job-candidates/past-placements
